question,dedup_answer,answer,dataset_name,quality
"A 31-year-old woman presents to the clinic with shortness of breath, palpitations, and fatigue. She has had these symptoms over the last several weeks. She had been tolerating these symptoms until last night when she could not fall asleep due to palpitations. She has a past medical history of infective endocarditis 6 months ago that was successfully treated with antibiotics. She does not smoke or drink alcohol. Her blood pressure is 138/89 mm Hg and her pulse is 76/min and regular. The cardiac exam reveals a soft S1, S3 gallop, a hyperdynamic apex beat, and a pansystolic murmur that radiates to the axilla on auscultation. Echocardiography reveals incompetence of one of the valves. Which of the following sites is the best position to auscultate this defect?",5th intercostal space at the midclavicular line on the left side,5th intercostal space at the midclavicular line on the left side,MedQA-USMLE,1
"A 30-year-old woman presents to the emergency department in a state of confusion and disorientation that started this morning. She is accompanied by her husband who says that she has been unwell for about one week. She has been complaining of fatigue. Her husband says that this morning, she also complained that her urine was dark red in color and that there were some red spots over her legs. He did notice some changes in her level of consciousness that worsened over time and he decided to bring her in today. She does not have a significant medical history. Physical examination shows petechiae over her arms and legs. She is conscious but drowsy and disoriented and unable to answer the physician’s questions appropriately. Her temperature is 38.3°C (100.9°F), blood pressure is 160/100 mm Hg, pulse rate is 90/min, and respiratory rate is 20/min.
Laboratory studies show:
Hemoglobin 10 g/dL
Leukocyte count 9,000/mm3
Platelet count 30,000/mm3
Bleeding time 10 min
Prothrombin time 12 s
Activated partial thromboplastin time 30 s
D-dimer 0.4 mg/L (normal < 0.5 mg/L)
Serum fibrinogen 350 mg/dL (normal 200–400 mg/dL)
Serum bilirubin (indirect) 2.2 mg/dL
Serum creatinine 1.5 mg/dL
Serum LDH 1,010 U/L
Based on her history, and her physical and laboratory findings, which of the following is the most likely pathophysiology for her presentation?",Decreased ADAMTS13 causing platelet adhesion and formation of microthrombi,Decreased ADAMTS13 causing platelet adhesion and formation of microthrombi,MedQA-USMLE,1
"A 4-month-old is noted to have a grade 3/6, harsh, systolic ejection murmur heard at the left upper sternal border. The mother reports that the child's lips occasionally turn blue during feeding. A cardiologist recommends surgery. Later, the physician remarks that the infant's congenital abnormality was related to a failure of neural crest cell migration. Prior to surgery, which of the following was a likely finding?",Pulmonic stenosis,Pulmonic stenosis,MedQA-USMLE,1
"A 38-year-old woman presents with generalized weakness and dizziness for the past 3 weeks. Past medical history is significant for systemic lupus erythematosus diagnosed 15 years ago, for which she takes hydroxychloroquine and methotrexate. No significant family history. Her vital signs include: temperature 37.1°C (98.7°F), blood pressure 122/65 mm Hg, pulse 100/min. Physical examination reveals generalized pallor; sclera are icteric. Her laboratory results are significant for the following:
Hemoglobin 7.3 g/dL
Mean corpuscular hemoglobin (MCH) 45 pg/cell
Reticulocyte count 6%
Direct antiglobulin test Positive
Peripheral blood smear 7 spherocytes
Which of the following best represents the most likely cause of this patient's condition?",IgG-mediated hemolysis,IgG-mediated hemolysis,MedQA-USMLE,1
"A 19-year-old male from rural West Virginia presents to his family medicine doctor to discuss why he is having trouble getting his wife pregnant. On exam, he is 6 feet 2 inches with a frail frame and broad hips for a male his size. He is noted to have mild gynecomastia, no facial hair, and small, underdeveloped testes. He claims that although he has a lower libido than most of his friends, he does have unprotected sex with his wife. His past medical history is notable for developmental delay and difficulties in school. What is the most likely chromosomal abnormality in this patient?",47: XXY,47: XXY,MedQA-USMLE,1
"A 56-year-old homeless male presents to a free clinic for a health evaluation. He states that he has not seen a physician in over 25 years but finally decided to seek medical attention after he noticed recent chronic fatigue and weight gain. Upon questioning, he endorses drinking 2 handles of whiskey per day. On exam, the physician observes the findings shown in Figures A-D. Which of the following findings would also be expected to be observed in this patient?",Testicular atrophy,Testicular atrophy,MedQA-USMLE,1
"A 23-year-old man presents to the emergency department with shortness of breath. The patient was at a lunch hosted by his employer. He started to feel his symptoms begin when he started playing football outside with a few of the other employees. The patient has a past medical history of atopic dermatitis and asthma. His temperature is 98.3°F (36.8°C), blood pressure is 87/58 mmHg, pulse is 150/min, respirations are 22/min, and oxygen saturation is 85% on room air. Which of the following is the best next step in management?",IM epinephrine,IM epinephrine,MedQA-USMLE,1
"A 2-week-old male newborn is brought to the physician because his mother has noticed her son has occasional bouts of """"turning blue in the face"""" while crying. He also tires easily and sweats while feeding. He weighed 2150 g (4 lb 11 oz) at birth and has gained 200 g (7 oz). The baby appears mildly cyanotic. Examination shows a 3/6 systolic ejection murmur heard over the left upper sternal border. A single S2 is present. An echocardiography confirms the diagnosis. Which of the following factors is the main determinant of the severity of this patient's cyanosis?""",Right ventricular outflow obstruction,Right ventricular outflow obstruction,MedQA-USMLE,1
"A 40-year-old man presents with substernal chest pain for the past hour. He describes the chest pain as severe, squeezing in nature, diffusely localized to the substernal area and radiating down his left arm. He also has associated nausea, dizziness, and diaphoresis. He denies any recent history of fever, chest trauma, palpitations, or syncope. Past medical history is significant for gastroesophageal reflux disease (GERD), managed medically with a proton pump inhibitor for the last 3 months. He also has uncontrolled diabetes mellitus type 2 and hypercholesterolemia diagnosed 10 years ago. His last HbA1c was 8.0. The vital signs include: blood pressure 140/90 mm Hg, pulse 100/min, respiratory rate 20/min, temperature 36.8°C (98.3°F) and oxygen saturation 98% on room air. He is administered sublingual nitroglycerin which lessens his chest pain. Chest radiograph seems normal. Electrocardiogram (ECG) shows ST-segment elevation in anterolateral leads. Which of the following is the most likely diagnosis of this patient?",Acute coronary syndrome,Acute coronary syndrome,MedQA-USMLE,1
"A 23-year-old woman with Ehlers-Danlos syndrome is brought to the emergency department with right knee pain and swelling after she twisted it while dancing. She had two similar episodes last year that were treated conservatively. She was treated for a fracture of her humerus 2 years ago. She has gastroesophageal reflux disease. Her sister has allergic rhinitis. Her only medication is omeprazole. She appears tense and uncomfortable. Her temperature is 37.1°C (99.3°F), pulse is 97/min, and blood pressure is 110/70 mm Hg. Examination shows mild scoliosis. The lungs are clear to auscultation. Cardiac examination shows a mid-systolic click. The right knee shows a large, tender effusion and the patella is displaced laterally. Lachman's test, the posterior drawer test, and Apley's test are negative. A complete blood count and serum concentrations of electrolytes, urea nitrogen, and creatinine are within the reference range. Toxicology screening is negative. X-ray of the knee joint shows an osteochondral fragment within the knee joint. What is the most appropriate next step in management?",Arthroscopy,Arthroscopy,MedQA-USMLE,1
"A 27-year-old woman presents to her primary care physician for a wellness checkup. She states that she is currently doing well but is unable to engage in exercise secondary to her asthma. Her asthma is well-controlled at baseline, and her symptoms only arise when she is trying to exercise once a week at volleyball practice. She is currently only using an albuterol inhaler once a month. The patient’s physical exam is notable for good bilateral air movement without wheezing on pulmonary exam. Which of the following is the best next step in management?",Recommend she use her albuterol inhaler prior to exercise,Recommend she use her albuterol inhaler prior to exercise,MedQA-USMLE,1
"A 69-year-old man is brought to the emergency room by his daughter due to confusion. She reports that her father did not remember who she was yesterday, and his refrigerator was completely empty when she tried to make him lunch. She states that he was acting like himself when she visited him last week. She also notes that he has struggled with alcoholism for many years and has not seen a doctor in over two decades. She is unsure if he has any other chronic medical conditions. In the emergency room, the patient’s temperature is 101.2°F (38.4°C), pulse is 103/min, respirations are 22/min, and O2 saturation is 92% on room air. His BMI is 17.1 kg/m^2. Physical exam reveals an extremely thin and frail man who is not oriented to person, place, or time. As he is being examined, he becomes unresponsive and desaturates to 84%. He is intubated and admitted to the intensive care unit for what is found to be pneumonia, and the patient is started on total parental nutrition as he is sedated and has a history of aspiration from a prior hospitalization. Two days later, physical exam is notable for new peripheral edema. Laboratory tests at that time reveal the following:

Serum:
Na+: 133 mEq/L
Cl-: 101 mEq/L
K+: 2.4 mEq/L
HCO3-: 24 mEq/L
BUN: 22 mg/dL
Glucose: 124 mg/dL
Creatinine: 1.1 mg/dL
Phosphate: 1.1 mg/dL
Mg2+: 1.0 mg/dL

Which of the following could have prevented the complication seen in this patient?",Slow initiation of total parenteral nutrition (TPN),Slow initiation of total parenteral nutrition (TPN),MedQA-USMLE,1
A 29-year-old woman with hypothyroidism comes to her primary care physician for advice on a health insurance plan. She works as a baker and owns a small bakery. The patient explains that she would like to have affordable monthly premiums. She would be willing to make additional payments to be able to see providers outside her network and to get specialist care if referred by her primary care physician. Which of the following health insurance plans would be most appropriate?,Point of service,Point of service,MedQA-USMLE,1
"A 63-year-old woman with a history of adult polycystic kidney disease and COPD presents to her optometrist after having difficulty watching a movie. She has no other complaints. She is accompanied by her daughter, who notes that her mother hasn’t been able to look at her since the previous day. On exam, her right eye has full range of motion, but her left eye is fixed in a down and outward position. What is the most likely cause of her symptoms?",Vascular abnormality,Vascular abnormality,MedQA-USMLE,1
"A 19-year-old woman presents with irregular menstrual cycles for the past 3 years and facial acne. Patient says she had menarche at the age of 11, established a regular cycle at 13, and had regular menses until the age of 16. Patient is sexually active with a single partner, and they use barrier contraception. They currently do not plan to get pregnant. There is no significant past medical history and she takes no current medications. Vitals are temperature 37.0℃ (98.6℉), blood pressure 125/85 mm Hg, pulse 69/min, respiratory rate 14/min, and oxygen saturation 99% on room air. Physical examination is significant for multiple comedones on her face. She also has hair on her upper lip, between her breasts, along with the abdominal midline, and on her forearms. There is hyperpigmentation of the axillary folds and near the nape of the neck. Laboratory tests are significant for the following:
Sodium   141 mEq/L
Potassium   4.1 mEq/L
Chloride  101 mEq/L
Bicarbonate  25 mEq/L
BUN  12 mg/dL
Creatinine  1.0 mg/dL
Glucose (fasting)   131 mg/dL 
  Bilirubin, conjugated 0.2 mg/dL
Bilirubin, total   1.0 mg/dL
AST (SGOT)    11 U/L
ALT (SGPT)        12 U/L
Alkaline Phosphatase 45 U/L
  WBC  6,500/mm3
RBC 4.80 x 106/mm3 
Hematocrit  40.5%
Hemoglobin  14.0 g/dL
Platelet Count   215,000/mm3
  TSH    4.4 μU/mL   
FSH   73 mIU/mL
LH   210 mIU/mL
Testosterone, total  129 ng/dL (ref: 6-86 ng/dL)
β-hCG  1 mIU/mL
Which of the following is the best course of treatment for this patient?",Oral contraceptives,Oral contraceptives,MedQA-USMLE,1
"A 10-year-old girl is brought to the physician because of itching of the vulva and anal region for the past 2 weeks. She has difficulty sleeping because of the itching. Physical examination shows excoriation marks around the vulva and perianal region. There is minor perianal erythema, but no edema or fissures. Microscopy of an adhesive tape applied to the perianal region shows multiple ova. Which of the following is the most appropriate treatment for this patient?",Mebendazole,Mebendazole,MedQA-USMLE,1
"A 68-year-old man presents to his primary care physician with complaints of intermittent dysuria, pain with ejaculation, mild lower abdominal pain, and difficulty voiding for the last four months. There is no weight loss or change in stools. He has no known family history of cancer. His past medical history is notable for irritable bowel syndrome and hypertension. On examination, he is well-appearing but mildly uncomfortable. There are no abdominal or rectal masses appreciated; the prostate is mildly tender to palpation, but with normal size, texture, and contour. Urinalysis reveals trace leukocyte esterase and negative nitrite, negative blood, and no bacteria on microscopy. Which of the following is the most appropriate treatment?",Tamsulosin and ciprofloxacin,Tamsulosin and ciprofloxacin,MedQA-USMLE,1
"A 34-year-old woman presents to the physician because of fever and sore throat for 2 days. She also reports generalized body pain and fatigue over this period. She was diagnosed with Graves’ disease 6 months ago. Because of arthralgias and rash due to methimazole 3 months ago, her physician switched methimazole to PTU. She appears ill. The vital signs include: temperature 38.4℃ (101.1℉), pulse 88/min, respiratory rate 12/min, and blood pressure 120/80 mm Hg. A 1 × 1 cm ulcer is seen on the side of the tongue and is painful with surrounding erythema. Examination of the neck, lungs, heart, and abdomen shows no abnormalities. She had normal liver aminotransferases last week. Which of the following is the most important diagnostic study at this time?",Complete blood count with differential,Complete blood count with differential,MedQA-USMLE,1
"A 47-year-old executive schedules an appointment his physician for a routine medical check-up. He currently has no complaints and claims to be “as fit as a fiddle.” The physical examination findings are unremarkable, except for a mid-systolic murmur heard in the 2nd left intercostal space that radiates to the carotids on auscultation. The physician instructs the patient to stand from a supine position with the stethoscope still placed on his chest. Which of the following changes would occur with this maneuver?",A reduction in diastolic filling time,A reduction in diastolic filling time,MedQA-USMLE,1
"A 32-year-old woman makes an appointment with her family physician for a new-employment physical examination. She has no complaints and the physical examination is unremarkable. The family history is negative for malignancies and inherited disorders. During the visit, she provides the results of a Pap smear taken last week, which reports the presence of atypical squamous cells of undetermined significance (ASC-US), along with a test for HPV, which was negative. The previous Pap smear was normal (negative for intraepithelial lesions or malignancy). When would you recommend that she have another Pap smear?",3 years,3 years,MedQA-USMLE,1
"A 29-year-old woman presents with a skin rash that has spread on her arm over the last few days. She also complains of fever, headache, joint pain, and stiffness of the neck associated with the onset of the rash. On physical examination, there is an annular, red rash with a clear area in the center similar to a bull’s-eye (see image). The patient says she went on a camping trip to Connecticut last month but does not remember being bitten by an insect. Which of the following could result if this condition remains untreated in this patient?",Bell’s palsy,Bell’s palsy,MedQA-USMLE,1
"A 43-year-old male is admitted to the hospital for a left leg cellulitis. He is being treated with clindamycin and is recovering nicely. On the second day of his admission, a nurse incorrectly administers 100 mg of metoprolol which was intended for another patient with the same last name. The error is not discovered until the next day, at which time it is clear that the patient has suffered no ill effects of the medication and is not aware that an error has occurred. What is the proper course of action of the attending physician?",Immediately disclose the error to the patient,Immediately disclose the error to the patient,MedQA-USMLE,1
"A 35-year-old woman presents to her dermatologist with complaints of discoloration of the skin on her hands and wrists. She says her symptoms started about 6-months ago. Around this time, she recalls moving into her new house with her husband and children. She had to quit her job to relocate and says she is having difficulty maintaining a clean and happy household. She admits to being stressed most of the time. She was previously in good health. No significant past medical history.  The patient is afebrile and vital signs are within normal limits. Physical examination reveals patchy red, scaly skin on both hands. Upon further questioning, the patient admits to having to continuously wash her hands because she has this irrational idea that her hands are dirty. She tries her best to ignore these thoughts but eventually succumbs to wash her hands over and over to ease the anxiety. Which of the following statements is correct concerning this patient’s most likely condition?",Symptoms are ego-dystonic,Symptoms are ego-dystonic,MedQA-USMLE,1
A 25-year-old man comes to the physician because of right wrist pain after a fall from a ladder. Physical examination shows decreased grip strength and tenderness between the tendons of extensor pollicis longus and extensor pollicis brevis. X-ray of the right wrist shows no abnormalities. This patient is at increased risk for which of the following complications?,Osteoarthritis of the radiocarpal joint,Osteoarthritis of the radiocarpal joint,MedQA-USMLE,1
"A 36-year-old woman complains of recurrent headaches. The pain is located on the right side of the head, is accompanied by nausea, worsens when lifting heavy objects, and typically lasts 2 days. She describes the pain as pulsatile and says that they are usually triggered by eating chocolates. Her headache is not associated with an aura. She sits in a dark room due to her increased discomfort. The patient has tried multiple over-the-counter medications without relief. Which of the following will most likely be the next treatment of choice for acute episodes?",5-HT1B/D agonist,5-HT1B/D agonist,MedQA-USMLE,1
"A 69-year-old man is brought to the emergency department because of severe abdominal pain radiating to his left flank for 30 minutes. He is weak and has been unable to stand since the onset of the pain. He vomited twice on the way to the hospital. He has not passed stools for 3 days. He has hypertension, coronary heart disease, and peptic ulcer disease. He has smoked half a pack of cigarettes daily for 46 years. Current medications include enalapril, metoprolol, aspirin, simvastatin, and pantoprazole. He appears ill. His temperature is 37°C (98.6°F), pulse is 131/min, respirations are 31/min, and blood pressure is 82/56 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 92%. The lungs are clear to auscultation. Cardiac examination shows no abnormalities. Examination shows a painful pulsatile abdominal mass. Intravenous fluid resuscitation is begun. Which of the following is the most appropriate next step in management?",Open emergency surgery,Open emergency surgery,MedQA-USMLE,1
"A previously healthy 3-month-old girl is brought to the emergency department because her lips turned blue while passing stools 20 minutes ago. She has not stopped crying since then. She was born at 38 weeks' gestation. She is at the 50th percentile for length and below the 30th percentile for weight. She is alert and agitated. Her temperature is 36.6°C (98°F), pulse is 180/min, respirations are 50/min, and blood pressure is 70/50 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 70%, which increases to 81% on administration of 100% oxygen. Physical examination shows perioral cyanosis and retractions of the lower ribs with respiration. Cardiac examination shows a harsh grade 2/6 systolic crescendo-decrescendo murmur at the left upper sternal border. Which of the following would most likely improve this patient's symptoms?",Knee-chest positioning,Knee-chest positioning,MedQA-USMLE,1
"A 34-year-old woman with Crohn disease comes to the physician because of a 4-week history of nausea, bloating, and epigastric pain that occurs after meals and radiates to the right shoulder. Four months ago, she underwent ileocecal resection for an acute intestinal obstruction. An ultrasound of the abdomen shows multiple echogenic foci with acoustic shadows in the gallbladder. Which of the following mechanisms most likely contributed to this patient’s current presentation?",Decreased biliary concentration of bile acids,Decreased biliary concentration of bile acids,MedQA-USMLE,1
A 15-year-old girl comes to the physician with her father for evaluation of her tall stature. She is concerned because she is taller than all of her friends. Her birth weight and height were within normal limits. Her father is 174 cm (5 ft 7 in) tall; her mother is 162 cm (5 ft 3 in) tall. She is at the 98th percentile for height and 90th percentile for BMI. She has not had her menstrual period yet. Her mother has Graves disease. Vital signs are within normal limits. Examination shows a tall stature with broad hands and feet. There is frontal bossing and protrusion of the mandible. Finger perimetry is normal. The remainder of the examinations shows no abnormalities. Serum studies show a fasting serum glucose of 144 mg/dL. An x-ray of the left hand and wrist shows a bone age of 15 years. Which of the following is most likely to have prevented this patient's condition?,Transsphenoidal adenomectomy,Transsphenoidal adenomectomy,MedQA-USMLE,1
"A 54-year-old man comes to the physician because of diarrhea that has become progressively worse over the past 4 months. He currently has 4–6 episodes of foul-smelling stools per day. Over the past 3 months, he has had fatigue and a 5-kg (11-lb) weight loss. He returned from Bangladesh 6 months ago after a year-long business assignment. He has osteoarthritis and hypertension. Current medications include amlodipine and naproxen. He appears pale and malnourished. His temperature is 37.3°C (99.1°F), pulse is 76/min, and blood pressure is 140/86 mm Hg. Examination shows pale conjunctivae and dry mucous membranes. Angular stomatitis and glossitis are present. The abdomen is distended but soft and nontender. Rectal examination shows no abnormalities. Laboratory studies show:
Hemoglobin 8.9 g/dL
Leukocyte count 4100/mm3
Platelet count 160,000/mm3
Mean corpuscular volume 110 μm3
Serum
Na+ 133 mEq/L
Cl- 98 mEq/l
K+ 3.3 mEq/L
Creatinine 1.1 mg/dL
IgA 250 mg/dL
Anti-tissue transglutaminase, IgA negative
Stool culture and studies for ova and parasites are negative. Test of the stool for occult blood is negative. Fecal fat content is 22 g/day (N < 7). Fecal lactoferrin is negative and elastase is within normal limits. Which of the following is the most appropriate next step in diagnosis?""",Enteroscopy,Enteroscopy,MedQA-USMLE,1
"Image A depicts the distribution of the lab value of interest in 250 patients. Given that this is not a normal (i.e. Gaussian) distribution, how many patients are contained in the portion highlighted blue?",125 patients,125 patients,MedQA-USMLE,1
"A previously healthy 32-year-old man comes to the physician because of a 2-month history of fatigue and daytime sleepiness. He works as an accountant and cannot concentrate at work anymore. He also has depressed mood and no longer takes pleasure in activities he used to enjoy, such as playing tennis with his friends. He has decreased appetite and has had a 4-kg (8.8-lb) weight loss of over the past 2 months. He does not have suicidal ideation. He is diagnosed with major depressive disorder and treatment with paroxetine is begun. The patient is at greatest risk for which of the following adverse effects?",Decreased libido,Decreased libido,MedQA-USMLE,1
"A 76-year-old hypertensive man who used to smoke 20 cigarettes a day for 40 years but quit 5 years ago presents to his family physician with a painless ulcer on the sole of his left foot, located at the base of his 1st toe. He has a history of pain in his left leg that awakens him at night and is relieved by dangling his foot off the side of the bed. His wife discovered the ulcer last week while doing his usual monthly toenail trimming. On physical exam, palpation of the patient’s pulses reveals the following:
Right foot
Femoral 4+
Popliteal 3+
Dorsalis Pedis 2+
Posterior Tibial 1+
Left foot
Femoral 4+
Popliteal 2+
Dorsalis Pedis 0
Posterior Tibial 0
Pulse detection by Doppler ultrasound revealed decreased flow in the left posterior tibial artery, but no flow could be detected in the dorsalis pedis. What is the most likely principal cause of this patient’s ulcer?",A narrowing of the superficial femoral artery,A narrowing of the superficial femoral artery,MedQA-USMLE,1
"A 62-year-old man comes to the physician for evaluation of multiple red spots on his trunk. He first noticed these several months ago, and some appear to have increased in size. One day ago, he scratched one of these spots, and it bled for several minutes. Physical examination shows the findings in the photograph. Which of the following is the most likely diagnosis?",Cherry angioma,Cherry angioma,MedQA-USMLE,1
"A 73-year-old man is brought in by his wife with a history of progressive personality changes. The patient’s wife says that, over the past 3 years, he has become increasingly aggressive and easily agitated, which is extremely out of character for him. His wife also says that he has had several episodes of urinary incontinence in the past month. He has no significant past medical history. The patient denies any history of smoking, alcohol use, or recreational drug use. The patient is afebrile, and his vital signs are within normal limits. A physical examination is unremarkable. The patient takes the mini-mental status examination (MMSE) and scores 28/30. A T2 magnetic resonance image (MRI) of the head is performed and the results are shown in the exhibit (see image). Which of the following is the next best diagnostic step in the management of this patient?",Lumbar puncture,Lumbar puncture,MedQA-USMLE,1
An 8-month-old male presents to your office with a 5-day history of blood in his stool. Abdominal pain is notably absent on history obtained from his parents. Past medical history and physical exam findings are not remarkable. Laboratory findings are significant for mild iron deficiency. Which of the following is characteristic of this patient’s diagnosis?,Diagnostic studies localize ectopic gastric tissue.,Diagnostic studies localize ectopic gastric tissue.,MedQA-USMLE,1
"A 26-year-old female college student is brought back into the university clinic for acting uncharacteristically. The patient presented to the same clinic 6 weeks ago with complaints of depressed mood, insomnia, and weightloss. She had been feeling guilty for wasting her parent’s money by doing so poorly at the university. She felt drained for at least 2 weeks before presenting to the clinic for the first time. She was placed on an antidepressant and was improving but now presents with elevated mood. She is more talkative with a flight of ideas and is easily distractible. Which of the following statements is most likely true regarding this patient’s condition?",Her diagnosis of unipolar depression is incorrect.,Her diagnosis of unipolar depression is incorrect.,MedQA-USMLE,1
"A 37-year-old obese woman presents to the neurology clinic complaining of severe pain in her left wrist and tingling sensation in her left thumb, index finger, and middle finger, and some part of her ring finger. The pain started as an occasional throb and she could ignore it or takes analgesics but now the pain is much worse and wakes her up at night. She is also concerned that these fingers are occasionally numb and sometimes tingle. She works as a typist and her pain mostly increases after typing all day. Her right wrist and fingers are fine. Nerve conduction studies reveal nerve compression. Which of the following additional clinical findings would most likely be present in this patient?",Inability to oppose thumb to other digits,Inability to oppose thumb to other digits,MedQA-USMLE,1
"An 7-month-old boy is brought to the pediatrician by his parents due to progressively worsening weakness for the last three months. The parents also describe the boy as having an exaggerated response when startled as well as diminishing response to visual stimuli. At birth, the boy was healthy and remained as such for the first few months of life. The mother says pregnancy was unremarkable, and the boy was born at 39 weeks with no complications during delivery. He is up to date on his vaccinations. The boy's grandparents immigrated from an eastern European country. Physical examination reveals hyperreflexia. Abdominal examination reveals no abnormalities. On fundoscopy, the following is seen. Which of the following is most likely deficient in this patient?",Hexosaminidase A,Hexosaminidase A,MedQA-USMLE,1
"A pharmaceutical company is studying the effect of a novel compound that they have discovered to treat osteoporosis. They perform a randomized controlled clinical trial to study if this compound has an effect on the incidence of hip fractures among osteoporotic patients. They find that there is no statistical difference between the experimental and control groups so they do not pursue the compound further. Two years later, a second team tests the same compound and finds that the compound is effective, and follow up studies confirm that the compound has a statistically significant effect on fracture risk. Which of the following most likely describes what occurred in the first study?",Type II error,Type II error,MedQA-USMLE,1
