question,dedup_answer,answer,answer_long,dataset_name,quality
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does oral fluvastatin reduce the severity of peritoneal adhesions in rats?",Answer is Yes because The data presented in this study demonstrate that the oral administration of the HMG-CoA reductase inhibitor fluvastatin reduced intra-abdominal adhesion formation.,Yes,Answer is Yes because The data presented in this study demonstrate that the oral administration of the HMG-CoA reductase inhibitor fluvastatin reduced intra-abdominal adhesion formation.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does autophagy reduce acute ethanol-induced hepatotoxicity and steatosis in mice?",Answer is Yes because Macroautophagy protects against ethanol-induced toxicity in livers of mice. Reagents that modify macroautophagy might be developed as therapeutics for patients with alcoholic liver disease.,Yes,Answer is Yes because Macroautophagy protects against ethanol-induced toxicity in livers of mice. Reagents that modify macroautophagy might be developed as therapeutics for patients with alcoholic liver disease.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is anogenital distance associated with serum reproductive hormones , but not with semen quality in young men?","Answer is Yes because Anogenital distance is associated with serum reproductive hormones, but not with semen quality.",Yes,"Answer is Yes because Anogenital distance is associated with serum reproductive hormones, but not with semen quality.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is low subcutaneous thigh fat a risk factor for unfavourable glucose and lipid levels , independently of high abdominal fat . The Health ABC Study?","Answer is Yes because Larger subcutaneous thigh fat is independently associated with more favourable glucose (in men) and lipid levels (in both sexes) after accounting for abdominal fat depots, which are associated with unfavourable glucose and lipid levels. Anthropometric measures reflect different fat depots at different levels of BMI at the abdomen, and reflect both fat and lean tissue at the thigh. These results emphasise the importance of accurate measures of regional body composition when investigating potential health risks.",Yes,"Answer is Yes because Larger subcutaneous thigh fat is independently associated with more favourable glucose (in men) and lipid levels (in both sexes) after accounting for abdominal fat depots, which are associated with unfavourable glucose and lipid levels. Anthropometric measures reflect different fat depots at different levels of BMI at the abdomen, and reflect both fat and lean tissue at the thigh. These results emphasise the importance of accurate measures of regional body composition when investigating potential health risks.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does angiotensin-converting enzyme D allele influence susceptibility to acute hypoxic respiratory failure in children?",Answer is No because Variation in ACE activity does not influence the development of paediatric AHRF. This may reflect a different pathogenesis from adult ARDS.,No,Answer is No because Variation in ACE activity does not influence the development of paediatric AHRF. This may reflect a different pathogenesis from adult ARDS.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does inhibition of protein kinase Cbeta prevent foam cell formation by reducing scavenger receptor A expression in human macrophages?",Answer is Yes because Nonspecific inhibition of PKCbeta prevents LDL uptake in macrophages. These findings suggest that PKCbeta inhibitors may represent a novel class of antiatherosclerotic drugs.,Yes,Answer is Yes because Nonspecific inhibition of PKCbeta prevents LDL uptake in macrophages. These findings suggest that PKCbeta inhibitors may represent a novel class of antiatherosclerotic drugs.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is glutathione-S-transferase P1 , T1 and M1 genetic polymorphisms in neoadjuvant-treated locally advanced gastric cancer : GSTM1-present genotype associated with better prognosis in completely resected patients?","Answer is Yes because None of the common GST polymorphisms predicts response in our study, but the GSTM1+ genotype was associated with a better prognosis in completely resected patients. Further investigations on chemotherapy-associated gene polymorphisms are warranted.",Yes,"Answer is Yes because None of the common GST polymorphisms predicts response in our study, but the GSTM1+ genotype was associated with a better prognosis in completely resected patients. Further investigations on chemotherapy-associated gene polymorphisms are warranted.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is sphincter of Oddi dysfunction associated with chronic pancreatitis?",Answer is Yes because Sphincter of Oddi dysfunction is associated with changes of chronic pancreatitis in patients with unexplained pancreaticobiliary pain. Longitudinal follow-up is required to confirm these preliminary findings.,Yes,Answer is Yes because Sphincter of Oddi dysfunction is associated with changes of chronic pancreatitis in patients with unexplained pancreaticobiliary pain. Longitudinal follow-up is required to confirm these preliminary findings.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does β-Hydroxy-β-methylbutyrate modify human peripheral blood mononuclear cell proliferation and cytokine production in vitro?",Answer is Yes because HMB may be a useful agent to consider for modulation of immune function in specific situations.,Yes,Answer is Yes because HMB may be a useful agent to consider for modulation of immune function in specific situations.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do voucher incentives increase treatment participation in telephone-based continuing care for cocaine dependence?","Answer is Yes because Voucher incentives can have a large effect on telephone continuing care participation, even when reinforcement is delayed. Further research will determine whether increased participation leads to better outcome among patients who received incentives.",Yes,"Answer is Yes because Voucher incentives can have a large effect on telephone continuing care participation, even when reinforcement is delayed. Further research will determine whether increased participation leads to better outcome among patients who received incentives.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do clinical parameters outweigh diffusion- and perfusion-derived MRI parameters in predicting survival in newly diagnosed glioblastoma?","Answer is Yes because MRI parameters help to predict OS in a univariate Cox regression analysis, and increased rCBV",Yes,"Answer is Yes because MRI parameters help to predict OS in a univariate Cox regression analysis, and increased rCBV",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does post-traumatic amnesia predict long-term cerebral atrophy in traumatic brain injury?",Answer is Yes because PTA has previously proven to be a good indicator of later cognitive recovery and functional outcome and also predicts long-term parenchymal change.,Yes,Answer is Yes because PTA has previously proven to be a good indicator of later cognitive recovery and functional outcome and also predicts long-term parenchymal change.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does the presence of blood in the transfer catheter negatively influence outcome at embryo transfer?","Answer is Yes because These results suggest that when only high-grade embryos or blastocysts are transferred, the presence of blood on the catheter is associated with decreased IR and CPR in assisted reproduction.",Yes,"Answer is Yes because These results suggest that when only high-grade embryos or blastocysts are transferred, the presence of blood on the catheter is associated with decreased IR and CPR in assisted reproduction.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do the conclusions on the effectiveness of homeopathy highly depend on the set of analyzed trials?","Answer is Yes because The meta-analysis results change sensitively to the chosen threshold defining large sample sizes. Because of the high heterogeneity between the trials, Shang's results and conclusions are less definite than had been presented.",Yes,"Answer is Yes because The meta-analysis results change sensitively to the chosen threshold defining large sample sizes. Because of the high heterogeneity between the trials, Shang's results and conclusions are less definite than had been presented.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is efficacy of splenectomy in preventing anemia in patients with recurrent hepatitis C following liver transplantation dependent on inosine triphosphate pyrophosphatase genotype?",Answer is No because   The ITPA genetic polymorphism does not correlate with post-transplant PEG-IFN/RBV-induced anemia. Splenectomy is useful in preventing anemia regardless of the ITPA genotype.,No,Answer is No because   The ITPA genetic polymorphism does not correlate with post-transplant PEG-IFN/RBV-induced anemia. Splenectomy is useful in preventing anemia regardless of the ITPA genotype.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is mMP2 activity critical for TGFβ2-induced matrix contraction -- implications for fibrosis?","Answer is Yes because MMP2 plays a critical role in TGFβ2-mediated matrix contraction, which appears to be independent of MT1-MMP. MMP2 inhibition provides a novel strategy for the treatment of PCO and potentially other fibrotic disorders.",Yes,"Answer is Yes because MMP2 plays a critical role in TGFβ2-mediated matrix contraction, which appears to be independent of MT1-MMP. MMP2 inhibition provides a novel strategy for the treatment of PCO and potentially other fibrotic disorders.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is time to antivenom administration associated with total antivenom dose administered in a copperhead-predominant snakebite population?","Answer is No because Time(AV) was not associated with Total(AV) when adjusted for likely confounders and supports current recommendations to observe for progression in minor envenomation. The majority of envenomations progressed, resulting in only a small proportion of patients not eventually receiving antivenom. The authors recommend observation in an environment where the patient can be adequately reassessed for progression of the envenomation.",No,"Answer is No because Time(AV) was not associated with Total(AV) when adjusted for likely confounders and supports current recommendations to observe for progression in minor envenomation. The majority of envenomations progressed, resulting in only a small proportion of patients not eventually receiving antivenom. The authors recommend observation in an environment where the patient can be adequately reassessed for progression of the envenomation.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is high plasma level of long Pentraxin 3 associated with insulin resistance in women with polycystic ovary syndrome?",Answer is Yes because PTX3 level is increased in patients with PCOS in concordance with insulin resistance.,Yes,Answer is Yes because PTX3 level is increased in patients with PCOS in concordance with insulin resistance.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is abnormal P-wave morphology a predictor of atrial fibrillation development and cardiac death in MADIT II patients?",Answer is Yes because Abnormalities in P-wave morphology recorded from orthogonal leads in surface ECG are independently predictive of increased risk of nonsudden cardiac death and AF development in MADIT II patients.,Yes,Answer is Yes because Abnormalities in P-wave morphology recorded from orthogonal leads in surface ECG are independently predictive of increased risk of nonsudden cardiac death and AF development in MADIT II patients.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does sustained activation of mTORC1 in macrophages increase AMPKα-dependent autophagy to maintain cellular homeostasis?",Answer is Yes because Our data revealed that sustained activation of mTORC1 due to defects in TSC1 promotes AMPKα-dependent autophagic flux to maintain cellular homeostasis.,Yes,Answer is Yes because Our data revealed that sustained activation of mTORC1 due to defects in TSC1 promotes AMPKα-dependent autophagic flux to maintain cellular homeostasis.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does crouch gait in persons with positive sagittal spine alignment resolve with surgery?","Answer is Yes because Positive sagittal alignment resulted in crouch gait, which was resolved after multi-segment reconstructive spinal surgery that improved sagittal spinal alignment. Step and stride lengths also improved after surgical correction of the sagittal alignment.",Yes,"Answer is Yes because Positive sagittal alignment resulted in crouch gait, which was resolved after multi-segment reconstructive spinal surgery that improved sagittal spinal alignment. Step and stride lengths also improved after surgical correction of the sagittal alignment.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is low grade inflammation , as evidenced by basal high sensitivity CRP , correlated to outcome measures in IVF?",Answer is No because These findings demonstrate that serum hs-CRP concentration is not a predictive marker of cycle or pregnancy outcome in women undergoing IVF treatment.,No,Answer is No because These findings demonstrate that serum hs-CRP concentration is not a predictive marker of cycle or pregnancy outcome in women undergoing IVF treatment.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does calcium potentiate the effect of estradiol on PGF2α production in the bovine endometrium?","Answer is Yes because Treatment with A23187 tended to stimulate PGF2α production. In the presence of E2, A23187 significantly stimulated PGF2α synthesis. It appears that A23187 potentiates the effects of E2 with respect to synthesis of endometrial PGF2α in cattle.",Yes,"Answer is Yes because Treatment with A23187 tended to stimulate PGF2α production. In the presence of E2, A23187 significantly stimulated PGF2α synthesis. It appears that A23187 potentiates the effects of E2 with respect to synthesis of endometrial PGF2α in cattle.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does bRCA1 reflect Myocardial Adverse Remodeling in Idiopathic Dilated Cardiomyopathy?","Answer is Yes because IDCM adverse remodeling results in more intense but nonuniform BRCA1 expression. This phenomenon seems to reflect IDCM biology: lower BRCA1 expression in myocytes with lower anti-apoptotic and DNA damage repair activity, with the opposite in hypertrophied myofibers.",Yes,"Answer is Yes because IDCM adverse remodeling results in more intense but nonuniform BRCA1 expression. This phenomenon seems to reflect IDCM biology: lower BRCA1 expression in myocytes with lower anti-apoptotic and DNA damage repair activity, with the opposite in hypertrophied myofibers.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do dNA copy-number alterations underlie gene expression differences between microsatellite stable and unstable colorectal cancers?",Answer is Yes because Our results show cross-study consistency of MSI-associated gene expression changes in colorectal cancers. DNA copy-number alterations partly cause the differences in gene expression between MSI and MSS cancers.,Yes,Answer is Yes because Our results show cross-study consistency of MSI-associated gene expression changes in colorectal cancers. DNA copy-number alterations partly cause the differences in gene expression between MSI and MSS cancers.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do single and multiple prenatal glucocorticoid exposures improve preterm newborn lamb cardiovascular and renal function similarly?",Answer is Yes because Multiple courses of betamethasone do not further improve renal and cardiovascular responses from a single betamethasone dose. Renal and cardiovascular function at term is not affected by early prenatal betamethasone exposure.,Yes,Answer is Yes because Multiple courses of betamethasone do not further improve renal and cardiovascular responses from a single betamethasone dose. Renal and cardiovascular function at term is not affected by early prenatal betamethasone exposure.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is carnitine transporter OCTN2 and carnitine uptake in bovine kidney cells regulated by peroxisome proliferator-activated receptor β/δ?",Answer is Yes because The present study shows for the first time that gene expression of the carnitine transporter OCTN2 and carnitine transport are regulated by PPARβ/δ in bovine cells. These novel findings extend the knowledge about the molecular regulation of the OCTN2 gene and carnitine transport in cattle and indicate that regulation of OCTN2 gene expression and carnitine transport is not restricted to the PPARα subtype.,Yes,Answer is Yes because The present study shows for the first time that gene expression of the carnitine transporter OCTN2 and carnitine transport are regulated by PPARβ/δ in bovine cells. These novel findings extend the knowledge about the molecular regulation of the OCTN2 gene and carnitine transport in cattle and indicate that regulation of OCTN2 gene expression and carnitine transport is not restricted to the PPARα subtype.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is proteasome modulator 9 gene linked to diabetic and non-diabetic retinopathy in T2D?","Answer is Yes because In summary, the PSMD9 IVS3+nt460, IVS3+nt437, E197G SNPs are linked to diabetic retinopathy and non-diabetic retinopathy in Italians.",Yes,"Answer is Yes because In summary, the PSMD9 IVS3+nt460, IVS3+nt437, E197G SNPs are linked to diabetic retinopathy and non-diabetic retinopathy in Italians.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does magnesium sulfate exposure increase fetal blood flow redistribution to the brain during acute non-acidemic hypoxemia in goats?","Answer is Yes because In near-term, initially healthy goat fetuses, brain blood flow during acute hypoxemia was significantly increased with magnesium sulfate exposure.",Yes,"Answer is Yes because In near-term, initially healthy goat fetuses, brain blood flow during acute hypoxemia was significantly increased with magnesium sulfate exposure.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does [ Cantharidin regulate intracellular ATP in G1/S-phase renal tubule epithelial cells ]?",Answer is Yes because Cantharidin prevents the disruption of the actin cytoskeleton in hypoxic damage by preventing abnormal intracellular ATP metabolism.,Yes,Answer is Yes because Cantharidin prevents the disruption of the actin cytoskeleton in hypoxic damage by preventing abnormal intracellular ATP metabolism.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does tumor necrosis factor gene variation predict hippocampus volume in healthy individuals?",Answer is Yes because The findings suggest a neurodegenerative role of the A-alleles of the TNF single nucleotide polymorphisms rs1800629 (-308G/A) and rs361525 (-238G/A) on hippocampal volumes in healthy individuals. Future imaging studies on the role of these single nucleotide polymorphisms in psychiatric populations of diseases with neurodegenerative components are warranted.,Yes,Answer is Yes because The findings suggest a neurodegenerative role of the A-alleles of the TNF single nucleotide polymorphisms rs1800629 (-308G/A) and rs361525 (-238G/A) on hippocampal volumes in healthy individuals. Future imaging studies on the role of these single nucleotide polymorphisms in psychiatric populations of diseases with neurodegenerative components are warranted.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does combination of epinephrine with esmolol attenuate post-resuscitation myocardial dysfunction in a porcine model of cardiac arrest?","Answer is Yes because Esmolol, a short-acting β₁-selective adrenergic blocking agent, given during CPR has significant effects on attenuating post resuscitation myocardial dysfunction. The current study provides a potential pharmacologic target for post resuscitation myocardial dysfunction.",Yes,"Answer is Yes because Esmolol, a short-acting β₁-selective adrenergic blocking agent, given during CPR has significant effects on attenuating post resuscitation myocardial dysfunction. The current study provides a potential pharmacologic target for post resuscitation myocardial dysfunction.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does the FGFR1 inhibitor PD173074 induce mesenchymal-epithelial transition through the transcription factor AP-1?","Answer is Yes because Taken together, these data suggest that PD173074 inhibits the MAPK pathway, which regulates the activity of AP-1 and induces MET. Furthermore, this induction of MET likely suppresses cancer cell growth and invasion.",Yes,"Answer is Yes because Taken together, these data suggest that PD173074 inhibits the MAPK pathway, which regulates the activity of AP-1 and induces MET. Furthermore, this induction of MET likely suppresses cancer cell growth and invasion.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does acid sphingomyelinase inhibition protect mice from lung edema and lethal Staphylococcus aureus sepsis?",Answer is Yes because Antibiotics are often insufficient to cure S. aureus-induced sepsis. S. aureus induces lung edema via the Asm/ceramide system. Genetic deficiency of Asm inhibits lung dysfunction upon infection with S. aureus. Pharmacologic inhibition of Asm reduces lung edema induced by S. aureus. Antibiotics plus amitriptyline protect mice from lung edema and lethal S. aureus sepsis.,Yes,Answer is Yes because Antibiotics are often insufficient to cure S. aureus-induced sepsis. S. aureus induces lung edema via the Asm/ceramide system. Genetic deficiency of Asm inhibits lung dysfunction upon infection with S. aureus. Pharmacologic inhibition of Asm reduces lung edema induced by S. aureus. Antibiotics plus amitriptyline protect mice from lung edema and lethal S. aureus sepsis.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is jiko-shisen-kyofu ( fear of one 's own glance ) , but not taijin-kyofusho ( fear of interpersonal relations ) , an east Asian culture-related specific syndrome?","Answer is Yes because To our best knowledge, no cases with a clear picture of phobia of one's own glance have been reported in the West to date. The controversial issue of the classification of phobia of one's own glance as an east Asian culture-related specific syndrome was addressed.",Yes,"Answer is Yes because To our best knowledge, no cases with a clear picture of phobia of one's own glance have been reported in the West to date. The controversial issue of the classification of phobia of one's own glance as an east Asian culture-related specific syndrome was addressed.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do splenic B cells act as antigen presenting cells for the induction of anterior chamber-associated immune deviation?",Answer is Yes because The results suggest that B cells use the BCR to capture and internalize antigen from ACAID-inducing macrophages. Lysosomal acidification of the captured antigen is essential for the processing of the ACAID antigen before TAP-independent presentation to suppressor cells.,Yes,Answer is Yes because The results suggest that B cells use the BCR to capture and internalize antigen from ACAID-inducing macrophages. Lysosomal acidification of the captured antigen is essential for the processing of the ACAID antigen before TAP-independent presentation to suppressor cells.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is anaesthesia for awake craniotomy safe and well-tolerated?","Answer is Yes because Our results comply well with the international literature in terms of complications related to haemodynamics, respiration, seizures, vomiting and nausea and in terms of patient satisfaction. Awake craniotomy is a well-tolerated procedure with potential benefits. More prospective randomized studies are required.",Yes,"Answer is Yes because Our results comply well with the international literature in terms of complications related to haemodynamics, respiration, seizures, vomiting and nausea and in terms of patient satisfaction. Awake craniotomy is a well-tolerated procedure with potential benefits. More prospective randomized studies are required.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does elevated microsatellite instability at selected tetranucleotide repeats correlate with clinicopathologic features of bladder cancer?","Answer is No because EMAST is another distinct form of MSI in urothelial BC. However, EMAST seems to be a rare event in non-selected urothelial BC and does not seem to be associated with commonly used clinicopathologic and clinical features in patients with BC.",No,"Answer is No because EMAST is another distinct form of MSI in urothelial BC. However, EMAST seems to be a rare event in non-selected urothelial BC and does not seem to be associated with commonly used clinicopathologic and clinical features in patients with BC.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does microRNA-19b promote macrophage cholesterol accumulation and aortic atherosclerosis by targeting ATP-binding cassette transporter A1?","Answer is Yes because MiR-19b promotes macrophage cholesterol accumulation, foam cell formation and aortic atherosclerotic development by targeting ABCA1.",Yes,"Answer is Yes because MiR-19b promotes macrophage cholesterol accumulation, foam cell formation and aortic atherosclerotic development by targeting ABCA1.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Is placental glucose transport and utilisation altered at term in insulin-treated , gestational-diabetic patients?",Answer is Yes because These results suggest that materno-fetal glucose transport increases in the placentae of women with gestational diabetes mellitus who receive insulin compared with those women who do not receive insulin.,Yes,Answer is Yes because These results suggest that materno-fetal glucose transport increases in the placentae of women with gestational diabetes mellitus who receive insulin compared with those women who do not receive insulin.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does eyelid opening induce expression of a glycocalyx glycoprotein of rat ocular surface epithelium?",Answer is Yes because Eyelid opening may induce glycosylation or expression of a glycocalyx component that we hypothesize to be involved in mucin spread.,Yes,Answer is Yes because Eyelid opening may induce glycosylation or expression of a glycocalyx component that we hypothesize to be involved in mucin spread.,PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Do epidemiological and cost analysis of burn injuries admitted to the emergency department of a tertiary burn center?","Answer is Yes because Burn degree and percent burn area were the main determinants of the cost of care of burn injuries. In conclusion, burn injuries are preventable by taking occupational measures and raising public awareness about domestic accidents.",Yes,"Answer is Yes because Burn degree and percent burn area were the main determinants of the cost of care of burn injuries. In conclusion, burn injuries are preventable by taking occupational measures and raising public awareness about domestic accidents.",PubMedQA,1
"Answer the following biomedical question by selecting from the options [""Yes"", ""No"", or ""Maybe""]: Does eplerenone suppress salt-induced vascular endothelial growth factor expression in the kidney?","Answer is Yes because Based on these findings, we suggest that in part, VEGF stimulation of endothelial nitric oxide synthase plays a significant role in the eplerenone-induced reversal of the renal and vascular damage caused by high dietary salt intake.",Yes,"Answer is Yes because Based on these findings, we suggest that in part, VEGF stimulation of endothelial nitric oxide synthase plays a significant role in the eplerenone-induced reversal of the renal and vascular damage caused by high dietary salt intake.",PubMedQA,1
